349874,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14478278,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17771198,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1240693,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8269287,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42313,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21516811,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28992007,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27490108,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31397954,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
24083596,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1962913,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24507654,0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0
6942006,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3403739,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34300236,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25862453,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28140856,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5565692,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20955374,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1247973,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28465900,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8060080,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
